,resource_id,sg_dep_median,sg_dep_cat,identity,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
262,50,3.0,high,0.1,5bf5b760-0855-442e-8ccf-d32db9f09235,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,01022023MORB01,morrumbene,m,shrimp_net,shrimp_net
137,50,3.0,high,0.3333333333333333,b1aecc22-d28c-4728-9c70-966d76a26e88,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,31012023MUB02,mucucune,m,fence_trap,fish
258,50,3.0,high,0.3333333333333333,8c4c8baa-dafa-48c6-bb34-4944108c5851,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,04032023NGUB07,nguja,f,shrimp_net,shrimp_net
112,50,3.0,high,0.1333333333333333,e8d84b41-6838-4a4d-b98d-66385c122993,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,02022023MARB05,marrambone,m,fence_trap,fish
142,50,3.0,high,0.3,668fcae1-2e89-417d-b2f7-cca29ae88fcf,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,31012023MUCB04,mucucune,f,glean,glean
51,50,3.0,high,0.3666666666666666,d9f43af5-8ab9-476c-bcbd-809deddcdd71,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,04022023CHAB06,chamane,f,glean,glean
329,50,3.0,high,0.0333333333333333,412ebe42-d0ab-49cd-a390-790fb5dd06a9,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,24012023CUGB02,kuguana,m,shrimp_net,shrimp_net
128,50,3.0,high,0.0666666666666666,926e019e-024f-43c8-8bfb-1a8170a861dd,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,02022023MARB09,marrambone,f,shrimp_net,shrimp_net
138,50,3.0,high,0.3333333333333333,84267d00-7c2a-415c-b15e-d1f3a08a24ea,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,31012023MUCB03,mucucune,f,glean,glean
330,50,3.0,high,0.0333333333333333,412ebe42-d0ab-49cd-a390-790fb5dd06a9,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,24012023CUGB02,kuguana,m,glean,glean
150,50,3.0,high,0.2333333333333333,72b20ec3-78b0-44b1-8f62-06504a26e4c5,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,31012023MUCB06,mucucune,m,gill_net,fish
86,50,3.0,high,0.2333333333333333,ae7d8f6f-e1d1-484c-b65d-5b64c4bec7b8,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,02022023MARB03,marrambone,f,shrimp_net,shrimp_net
252,50,3.0,high,1.0,a9702bf4-6440-4e06-9f33-8f26a998afd3,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,04032023NGUB02,nguja,f,glean,glean
12,50,3.0,high,0.2333333333333333,310a5eff-b95e-4979-a0dd-c98a7703f436,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,13022023NHMUB03,nhamua,m,gill_net,fish
161,50,3.0,high,0.1333333333333333,615838ac-55f5-4537-ba76-fecefaddd226,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,31012023MUCB08,mucucune,f,shrimp_net,shrimp_net
154,50,3.0,high,0.2333333333333333,a744e3c9-d3d2-4588-b6cd-900a3f4f4286,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,31012023MUCB07,mucucune,f,shrimp_net,shrimp_net
315,50,3.0,high,0.0666666666666666,217d4e9d-94cc-407a-9aaf-9dabfa977971,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,24012023CUGB01,kuguana,m,drag_net,fish
44,50,3.0,high,0.1666666666666666,d4d143b4-de71-42bd-be9e-b42bcadd5863,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,04022023CHAB03,chamane,m,shrimp_net,shrimp_net
77,50,3.0,high,0.2666666666666666,6e76bb44-7881-4dfe-aff2-019452e7f1ef,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,02022023MARB02,marrambone,f,glean,glean
331,50,3.0,high,0.0333333333333333,412ebe42-d0ab-49cd-a390-790fb5dd06a9,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,24012023CUGB02,kuguana,m,gill_net,fish
78,50,3.0,high,0.2666666666666666,6e76bb44-7881-4dfe-aff2-019452e7f1ef,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,02022023MARB02,marrambone,f,shrimp_net,shrimp_net
