,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,cap_income_hot,cap_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat
149,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,233.33333333333331,233.33333333333331,0.1014110624981891,0.12497768255668631,08022023MADB08,madava,f,shrimp_net,shrimp_net
235,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,1600.0,800.0,1.0,1.0,18022023ILHB03,ilha,f,glean,glean
200,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0,0.0,0.0,0.0,01022023MORB01,morrumbene,m,shrimp_net,shrimp_net
231,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,12600.0,6300.0,0.45064377682403434,0.23648648648648649,18022023ILHB01,ilha,m,fence_trap,fish
224,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,16000.0,800.0,0.365567664505449,0.15337423312883436,01022023MORB07,morrumbene,m,drag_net,fish
175,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,2400.0,2750.0,1.0,0.9016393442622951,14022023SAHB03,sahane,f,glean,glean
196,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,180.0,0.0,0.06323185011709603,0.0,04032023NGUB06,nguja,m,gill_net,fish
155,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,800.0,100.0,0.36454219575915914,0.26901004304160686,17022023NHCHB01,nhamaxaxa,f,shrimp_net,shrimp_net
169,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,400.0,426.66666666666663,0.12381345439537765,0.4155844155844156,09032023NHCHB08,nhamaxaxa,f,shrimp_net,shrimp_net
131,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,640.0,666.6666666666666,0.06176016469377252,0.1249375312343828,08022023MADB04,madava,f,shrimp_net,shrimp_net
219,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,8820.0,7279.999999999999,0.13938053097345132,0.17063166529942575,O1O22023MOR06,morrumbene,m,drag_net,fish
156,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,800.0,100.0,0.36454219575915914,0.26901004304160686,17022023NHCHB01,nhamaxaxa,f,glean,glean
215,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,2933.333333333333,1466.6666666666665,0.2257761053621825,0.1703377386196769,01022023MORBO5,morrumbene,m,fence_trap,fish
165,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,200.0,0.0,0.05555555555555555,0.0,17022023NHCHB05,nhamaxaxa,m,hand_line,fish
178,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,400.0,960.0,1.0,1.0,14022023SAHB05,sahane,f,glean,glean
