,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,prop_cap_hot,prop_cap_cold,cap_monthly_hot,cap_monthly_cold,id,ccp,gender,fish_pract,pract_cat
171,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.3,0.6666666666666666,8.0,48.0,14022023SAHB05,sahane,f,glean,glean
223,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.2,0.2,360.0,180.0,18022023ILHB01,ilha,m,fence_trap,fish
92,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0333333333333333,0.0,1.25,,02022023MARB08,marrambone,m,basket_trap,fish
93,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.2,0.1333333333333333,8.0,8.0,02022023MARB09,marrambone,f,shrimp_net,shrimp_net
47,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.7666666666666667,0.8666666666666667,66.0,16.0,04022023CHAB06,chamane,f,glean,glean
82,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.2333333333333333,0.1333333333333333,360.0,48.0,02022023MARB05,marrambone,m,fence_trap,fish
211,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1333333333333333,0.1333333333333333,,,O1O22023MOR06,morrumbene,m,drag_net,fish
43,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0333333333333333,0.1,60.0,12.0,04022023CHAB03,chamane,m,shrimp_net,shrimp_net
99,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1333333333333333,0.1,96.0,144.0,31012023MUCB01,mucucune,m,fence_trap,fish
36,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,1.0,0.0,40.0,,04022023CHAB01,chamane,m,glean,glean
104,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1333333333333333,0.1,450.0,45.0,31012023MUB02,mucucune,m,fence_trap,fish
57,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.2,0.2,60.0,18.0,04022023CHAB08,chamane,m,shrimp_net,shrimp_net
105,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1666666666666666,0.0333333333333333,20.0,7.800000000000001,31012023MUCB03,mucucune,f,glean,glean
